date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
20000101,22.0,25.14,19.84,0.0,1.53,55.98,4.313,-999.0
20000102,21.85,25.14,19.25,0.0,1.74,60.43,3.9137,-999.0
20000103,21.05,24.29,18.69,0.01,1.68,60.67,3.3773,-999.0
20000104,21.29,24.8,18.44,0.0,1.85,64.87,4.1599,-999.0
20000105,21.59,25.53,18.37,0.0,2.5,68.16,4.1208,-999.0
20000106,22.37,26.18,18.99,0.0,2.41,58.78,3.9173,-999.0
20000107,22.47,25.92,20.0,0.0,2.1,58.96,3.8856,-999.0
20000108,22.88,26.12,20.75,0.0,2.44,63.53,3.7322,-999.0
20000109,22.24,25.27,20.49,0.0,1.69,65.31,4.1734,-999.0
20000110,21.57,23.48,20.11,0.47,4.88,76.42,3.3554,-999.0
20000111,19.99,21.28,18.75,0.0,7.12,65.18,3.3007,-999.0
20000112,20.0,22.16,18.32,0.0,4.26,65.64,3.9926,-999.0
20000113,20.27,22.98,18.25,0.0,2.44,61.91,4.123,-999.0
20000114,20.8,23.61,19.24,0.0,2.38,60.72,4.0526,-999.0
20000115,20.1,22.75,18.52,0.0,2.42,61.48,4.1448,-999.0
20000116,20.64,24.33,16.81,0.0,2.27,60.48,3.9403,-999.0
20000117,21.3,24.99,17.96,0.3,6.49,65.48,2.3369,-999.0
20000118,20.41,22.84,18.02,1.18,4.19,76.91,1.1508,-999.0
20000119,22.29,26.23,18.72,0.0,3.93,69.38,4.1573,-999.0
20000120,21.38,23.74,19.43,0.01,3.08,75.07,3.9991,-999.0
20000121,21.38,24.93,19.17,0.0,2.77,66.69,4.331,-999.0
20000122,21.23,24.02,19.53,0.0,3.56,62.61,4.4522,-999.0
20000123,21.63,24.89,19.21,0.0,3.08,58.8,4.4609,-999.0
20000124,21.2,24.34,18.43,0.0,4.85,58.99,4.4923,-999.0
20000125,19.61,22.42,17.49,0.0,2.68,61.36,4.3464,-999.0
20000126,19.83,22.82,18.04,0.0,2.01,57.13,4.7467,-999.0
20000127,21.59,27.6,16.68,0.0,2.43,54.74,4.7662,-999.0
20000128,21.86,27.12,17.57,0.0,4.7,56.93,4.655,-999.0
20000129,22.18,25.94,18.95,0.0,4.55,62.01,4.3212,-999.0
20000130,20.24,22.18,17.61,0.05,5.86,65.77,3.9468,-999.0
