date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
20000101,19.06,27.11,13.24,0.0,2.81,23.94,4.4086,-999.0
20000102,19.51,27.34,12.67,0.0,1.95,20.97,4.3949,-999.0
20000103,19.42,27.23,13.61,0.0,1.71,28.3,4.583,-999.0
20000104,18.91,26.04,14.16,0.0,2.15,54.22,4.5197,-999.0
20000105,20.05,27.44,13.64,0.0,1.2,53.45,4.4035,-999.0
20000106,19.82,27.57,14.5,0.0,1.91,42.66,4.1501,-999.0
20000107,19.58,26.65,15.05,0.0,2.79,73.78,4.2053,-999.0
20000108,20.44,26.15,16.29,0.0,3.19,81.52,4.3003,-999.0
20000109,21.4,27.27,17.77,0.0,1.83,76.55,4.2742,-999.0
20000110,21.53,27.54,17.93,0.0,1.8,72.18,4.2821,-999.0
20000111,20.56,25.12,17.26,0.07,2.5,76.31,2.5073,-999.0
20000112,18.92,24.95,12.76,0.0,3.13,52.77,4.4417,-999.0
20000113,15.01,22.68,9.12,0.0,2.95,24.52,4.7503,-999.0
20000114,14.2,22.77,7.51,0.0,2.67,20.3,4.7515,-999.0
20000115,15.03,22.36,8.1,0.0,2.65,18.26,4.6102,-999.0
20000116,14.44,22.19,8.09,0.0,3.1,17.59,4.7098,-999.0
20000117,15.11,22.17,9.56,0.0,4.83,21.17,4.5941,-999.0
20000118,16.92,25.0,10.08,0.0,3.27,23.16,4.6382,-999.0
20000119,19.11,26.75,13.29,0.0,2.38,41.1,4.6121,-999.0
20000120,20.01,26.19,14.73,0.0,4.27,77.0,4.9018,-999.0
20000121,20.68,27.23,15.59,0.0,3.74,74.75,4.697,-999.0
20000122,20.96,28.15,14.79,0.0,1.84,60.08,4.6901,-999.0
20000123,20.53,26.71,15.88,0.0,2.03,69.31,4.1429,-999.0
20000124,21.19,27.11,17.5,0.0,2.42,81.08,4.656,-999.0
20000125,21.06,27.69,16.34,0.0,1.9,61.26,4.3759,-999.0
20000126,19.18,26.03,13.34,0.0,3.14,45.23,4.5763,-999.0
20000127,18.38,25.1,13.24,0.0,3.25,34.9,4.9116,-999.0
20000128,17.87,25.49,11.86,0.0,2.77,32.46,4.9246,-999.0
20000129,18.68,27.53,12.03,0.0,2.01,32.49,4.9354,-999.0
20000130,18.42,25.89,12.4,0.0,3.43,53.03,4.9702,-999.0
20000131,20.43,28.5,13.89,0.0,3.65,42.19,4.7995,-999.0
20000201,18.0,26.68,10.87,0.0,2.77,29.86,4.926,-999.0
20000202,18.21,24.93,13.64,0.0,2.11,63.92,4.8926,-999.0
20000203,19.46,25.03,15.13,0.0,2.17,60.82,4.747,-999.0
20000204,19.75,25.67,13.87,0.0,3.78,51.41,4.9814,-999.0
20000205,16.28,22.96,10.34,0.04,2.63,46.45,5.365,-999.0
20000206,18.11,25.77,12.35,0.0,1.87,33.21,5.3873,-999.0
20000207,17.82,25.23,11.27,0.0,3.01,41.68,5.423,-999.0
20000208,18.6,24.67,13.74,0.0,2.19,60.44,5.0851,-999.0
20000209,20.26,26.0,15.95,0.0,3.25,74.73,5.3753,-999.0
20000210,18.56,25.17,12.89,0.0,3.2,40.11,4.9284,-999.0
20000211,16.65,25.61,8.71,0.04,2.87,20.39,5.5078,-999.0
20000212,16.51,24.55,8.19,0.0,2.16,20.56,5.4504,-999.0
20000213,16.58,23.84,9.91,0.0,2.52,20.35,5.4886,-999.0
20000214,18.11,25.63,10.72,0.0,1.55,20.13,5.519,-999.0
20000215,18.8,26.4,12.64,0.0,2.37,39.95,5.539,-999.0
20000216,20.07,28.49,12.78,0.0,2.6,44.22,5.7158,-999.0
20000217,19.68,28.05,13.0,0.0,2.62,37.64,5.6549,-999.0
20000218,20.64,27.8,14.96,0.0,1.53,65.49,5.5202,-999.0
20000219,20.93,28.16,14.35,0.0,2.16,48.57,5.7756,-999.0
20000220,21.09,28.1,14.55,0.0,1.59,32.44,5.754,-999.0
20000221,19.78,26.88,13.28,0.0,1.98,28.37,5.8015,-999.0
20000222,19.71,27.01,12.34,0.0,1.98,24.55,5.9671,-999.0
20000223,21.05,28.26,14.64,0.0,1.24,31.29,6.0329,-999.0
20000224,21.46,29.0,14.54,0.0,1.44,26.95,6.1058,-999.0
20000225,21.47,29.51,15.68,0.0,2.35,41.01,6.3288,-999.0
20000226,21.42,30.37,14.42,0.0,2.71,48.66,6.372,-999.0
20000227,22.3,29.2,17.37,0.0,2.82,78.09,5.911,-999.0
20000228,23.97,32.7,18.55,0.0,1.92,69.02,6.2784,-999.0
20000229,23.8,32.48,17.95,0.0,2.86,71.87,6.1786,-999.0
20000301,24.33,32.34,19.0,0.0,2.55,67.86,6.4498,-999.0
20000302,23.66,31.69,17.71,0.0,2.81,51.65,6.0641,-999.0
20000303,22.46,29.04,16.61,0.0,5.19,61.77,6.3058,-999.0
20000304,21.66,29.63,14.95,0.0,3.42,32.17,6.0449,-999.0
20000305,19.6,27.65,11.8,0.0,2.23,23.96,6.2069,-999.0
20000306,19.34,25.86,12.91,0.0,3.14,50.64,6.3881,-999.0
20000307,20.78,28.75,12.2,0.0,1.87,31.22,6.1687,-999.0
20000308,21.44,29.54,15.35,0.0,1.51,26.72,6.4735,-999.0
20000309,21.14,30.32,13.36,0.0,3.64,50.27,6.4296,-999.0
20000310,22.5,29.85,16.98,0.0,4.52,70.96,6.3125,-999.0
20000311,22.96,31.42,16.07,0.0,3.92,49.78,6.336,-999.0
20000312,21.68,28.47,16.47,0.0,3.5,67.38,6.1615,-999.0
20000313,22.11,31.34,13.53,0.0,1.76,40.73,6.7157,-999.0
20000314,22.4,31.66,15.52,0.0,2.15,46.4,6.7181,-999.0
20000315,21.53,29.69,15.1,0.0,3.07,53.02,6.7483,-999.0
20000316,22.48,30.5,16.25,0.0,3.56,66.83,6.7003,-999.0
20000317,23.89,33.02,16.42,0.0,2.94,32.81,6.601,-999.0
20000318,23.56,32.94,15.58,0.0,2.32,31.59,6.6478,-999.0
20000319,24.69,34.07,18.26,0.0,2.24,44.62,6.8232,-999.0
20000320,23.71,30.89,18.24,0.0,3.74,73.46,6.8894,-999.0
20000321,25.04,31.83,19.72,0.0,1.99,63.68,6.9062,-999.0
20000322,24.97,31.95,18.05,0.0,2.28,30.55,6.99,-999.0
20000323,24.98,33.16,18.16,0.0,1.68,38.71,6.9425,-999.0
20000324,25.33,33.64,18.65,0.0,2.04,38.02,6.9919,-999.0
20000325,26.6,35.25,19.67,0.0,2.02,27.6,7.2046,-999.0
20000326,26.87,35.62,20.52,0.0,2.35,27.49,7.345,-999.0
20000327,27.0,36.25,20.01,0.0,2.24,31.25,7.1993,-999.0
20000328,26.98,35.69,20.4,0.0,2.25,29.55,7.0267,-999.0
20000329,26.62,35.31,20.71,0.0,2.35,36.82,6.6569,-999.0
20000330,27.11,35.21,20.67,0.0,2.95,50.72,6.817,-999.0
20000331,26.36,33.99,20.87,0.0,3.44,50.82,7.1095,-999.0
20000401,27.88,36.13,19.8,0.0,2.02,39.88,7.3445,-999.0
20000402,28.68,36.8,22.53,0.0,2.15,29.17,7.2158,-999.0
20000403,29.41,38.94,21.73,0.0,2.22,28.02,7.3296,-999.0
20000404,29.59,38.51,22.53,0.0,2.8,21.64,7.1263,-999.0
20000405,29.32,39.01,21.0,0.0,2.25,21.65,7.1688,-999.0
20000406,28.46,37.18,21.57,0.0,2.42,42.12,7.1928,-999.0
20000407,26.14,33.92,20.04,0.0,3.19,62.97,7.213,-999.0
20000408,27.37,36.86,20.04,0.0,2.39,60.92,6.9317,-999.0
20000409,28.32,37.18,21.59,0.0,2.8,48.65,7.1933,-999.0
20000410,28.8,39.45,21.26,0.0,3.74,59.15,7.4465,-999.0
20000411,28.83,38.6,22.11,0.0,3.43,62.79,7.6716,-999.0
20000412,28.61,37.24,22.9,0.0,3.03,68.51,7.4474,-999.0
20000413,28.43,36.26,22.95,0.0,3.09,68.5,7.567,-999.0
20000414,29.83,40.27,22.45,0.0,2.86,50.49,7.3618,-999.0
20000415,30.24,40.96,21.8,0.0,2.45,37.99,7.4412,-999.0
20000416,30.49,41.2,22.7,0.0,2.76,53.5,7.4062,-999.0
20000417,29.68,39.66,23.18,0.0,4.68,58.64,7.2473,-999.0
20000418,28.51,36.39,22.91,0.0,5.44,67.04,7.404,-999.0
20000419,27.63,34.01,23.08,0.0,5.59,68.42,6.8681,-999.0
20000420,27.09,33.4,23.01,0.0,5.67,69.61,7.0579,-999.0
20000421,27.74,32.59,24.04,0.0,6.09,75.12,7.3644,-999.0
