date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
20000101,-5.71,0.82,-11.01,0.0,0.99,36.47,3.4661,-999.0
20000102,-5.13,2.47,-10.99,0.0,0.98,35.22,3.5215,-999.0
20000103,-5.53,2.38,-11.29,0.0,1.37,33.07,3.5069,-999.0
20000104,-5.4,1.86,-10.79,0.0,1.0,28.84,3.7037,-999.0
20000105,-5.95,0.23,-10.36,0.0,0.97,34.87,3.5719,-999.0
20000106,-6.84,-1.06,-11.2,0.0,1.25,42.75,3.4505,-999.0
20000107,-8.45,-4.18,-11.22,0.0,1.66,67.3,0.7085,-999.0
20000108,-8.51,-4.45,-11.61,0.0,2.05,87.94,0.9463,-999.0
20000109,-9.53,-6.55,-12.09,0.2,3.07,87.28,0.8237,-999.0
20000110,-10.97,-7.4,-13.47,0.07,2.07,76.1,2.2382,-999.0
20000111,-10.41,-8.45,-12.02,0.94,2.47,89.83,2.2831,-999.0
20000112,-10.04,-7.01,-12.11,19.41,2.59,95.87,0.6432,-999.0
20000113,-12.74,-9.25,-15.47,8.59,2.71,97.83,0.9953,-999.0
20000114,-15.61,-13.2,-18.79,0.0,1.76,95.12,0.8026,-999.0
20000115,-18.02,-14.66,-20.75,0.0,1.4,93.19,2.0198,-999.0
20000116,-19.17,-13.41,-24.99,0.0,1.25,79.73,1.7016,-999.0
20000117,-18.58,-9.63,-27.25,0.0,1.7,86.01,1.4462,-999.0
20000118,-11.23,-5.71,-16.4,0.89,2.18,98.09,1.1491,-999.0
20000119,-11.7,-7.5,-17.92,0.46,2.06,96.93,0.8129,-999.0
20000120,-16.33,-6.72,-25.44,0.0,1.25,73.81,2.2428,-999.0
20000121,-15.86,-8.18,-21.66,0.0,1.64,67.74,2.5937,-999.0
20000122,-13.44,-8.43,-17.07,0.0,1.4,94.15,2.8975,-999.0
20000123,-14.29,-8.68,-18.4,0.0,1.36,93.09,2.7012,-999.0
20000124,-15.78,-8.98,-23.36,0.26,1.7,95.14,2.2742,-999.0
20000125,-12.71,-8.93,-15.44,0.48,2.08,96.22,1.5168,-999.0
20000126,-13.53,-9.6,-16.06,0.12,2.02,95.81,2.6642,-999.0
20000127,-13.66,-8.93,-16.96,0.0,1.12,93.58,2.4958,-999.0
20000128,-16.05,-7.95,-22.56,0.0,1.84,79.3,2.8615,-999.0
20000129,-13.28,-4.34,-20.02,0.0,1.89,57.53,3.1224,-999.0
20000130,-10.88,-2.96,-17.61,0.0,1.89,72.36,1.8866,-999.0
20000131,-11.8,-8.53,-14.89,6.45,2.12,96.74,2.1202,-999.0
20000201,-13.53,-9.98,-16.25,22.12,1.77,97.53,2.0566,-999.0
20000202,-15.22,-11.38,-19.66,2.67,1.44,95.2,2.6443,-999.0
20000203,-14.27,-10.65,-16.95,0.0,1.78,95.67,2.9258,-999.0
20000204,-13.93,-9.9,-18.09,0.02,1.4,92.79,3.3312,-999.0
20000205,-14.54,-7.41,-21.25,0.0,1.35,86.54,3.6521,-999.0
20000206,-15.05,-7.3,-21.72,0.0,1.14,87.1,3.4061,-999.0
20000207,-16.31,-7.97,-23.23,0.0,1.53,89.78,3.4553,-999.0
20000208,-15.17,-9.9,-19.84,0.0,1.61,95.36,3.889,-999.0
20000209,-13.73,-10.18,-16.73,3.46,2.42,98.45,2.7533,-999.0
20000210,-13.84,-9.87,-16.62,3.11,1.81,95.73,1.8662,-999.0
20000211,-14.13,-10.46,-16.45,0.36,1.37,95.51,1.8566,-999.0
20000212,-14.32,-10.87,-16.76,0.49,1.09,90.49,3.2129,-999.0
