date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
20000101,16.76,25.68,10.27,0.0,2.98,16.77,4.2014,-999.0
20000102,17.21,26.14,10.58,0.0,2.55,16.51,4.3702,-999.0
20000103,18.33,26.92,10.76,0.0,1.22,18.74,4.3942,-999.0
20000104,17.83,26.78,11.86,0.0,2.0,46.27,4.3162,-999.0
20000105,18.06,26.9,10.93,0.0,1.77,46.09,4.2835,-999.0
20000106,18.24,27.87,10.87,0.0,1.53,30.12,3.8597,-999.0
20000107,18.73,28.02,12.51,0.0,3.1,69.23,3.7999,-999.0
20000108,19.87,27.92,14.59,0.0,3.46,77.2,4.0272,-999.0
20000109,20.84,27.88,16.22,0.0,1.25,73.87,4.3692,-999.0
20000110,20.48,28.02,14.99,0.0,1.6,69.9,4.2418,-999.0
20000111,19.05,25.24,14.53,0.0,2.32,76.46,3.3442,-999.0
20000112,18.15,25.11,11.76,0.0,2.63,53.74,4.3344,-999.0
20000113,13.44,21.86,7.2,0.0,2.43,19.9,4.0997,-999.0
20000114,12.64,21.77,5.56,0.0,1.62,13.08,4.0812,-999.0
20000115,12.72,20.75,5.53,0.0,2.53,11.22,3.9607,-999.0
20000116,11.98,20.29,5.16,0.0,3.1,11.04,4.4306,-999.0
20000117,12.9,20.92,6.68,0.0,4.57,15.87,3.9871,-999.0
20000118,14.53,23.28,7.91,0.0,3.28,18.53,4.8689,-999.0
20000119,18.37,27.85,11.25,0.0,2.04,32.68,3.9982,-999.0
20000120,19.47,27.25,13.65,0.0,5.06,74.99,4.4575,-999.0
20000121,20.16,28.03,13.93,0.0,4.15,71.86,4.3382,-999.0
20000122,20.3,27.88,13.55,0.0,2.08,52.14,4.5485,-999.0
20000123,19.82,27.39,14.11,0.0,1.36,50.44,4.6219,-999.0
20000124,20.81,29.04,15.18,0.0,2.66,73.7,4.6294,-999.0
20000125,20.76,27.14,15.12,0.0,1.71,52.71,4.7844,-999.0
20000126,18.07,25.57,11.63,0.0,3.15,40.51,5.0647,-999.0
20000127,16.41,24.04,10.76,0.0,3.17,31.5,4.9385,-999.0
20000128,15.87,24.19,9.39,0.0,2.69,26.58,4.7594,-999.0
20000129,17.41,26.78,9.96,0.0,1.67,24.34,4.6085,-999.0
20000130,17.85,27.56,10.13,0.0,3.78,44.43,4.6762,-999.0
20000131,20.15,29.67,13.28,0.0,3.35,40.9,5.0875,-999.0
20000201,17.1,25.13,11.27,0.0,3.13,18.47,4.2055,-999.0
20000202,17.04,25.74,10.26,0.0,2.21,62.84,4.2607,-999.0
20000203,17.1,23.7,11.74,0.0,2.31,52.73,5.3458,-999.0
20000204,18.31,25.29,11.58,0.06,3.58,54.92,5.0825,-999.0
20000205,14.78,23.2,7.76,0.03,2.18,47.72,5.0947,-999.0
20000206,16.12,24.22,10.67,0.0,1.92,37.81,5.4725,-999.0
20000207,16.57,24.42,9.06,0.0,2.59,33.44,5.4547,-999.0
20000208,17.96,25.62,11.46,0.0,2.06,50.01,5.3729,-999.0
20000209,19.1,26.36,13.32,0.0,3.34,73.37,4.9843,-999.0
20000210,17.31,24.31,10.67,0.0,2.48,40.9,4.7278,-999.0
20000211,15.3,24.67,7.22,0.11,2.18,14.33,4.9006,-999.0
20000212,14.76,22.9,7.55,0.0,2.84,11.77,5.141,-999.0
20000213,14.14,22.55,6.97,0.0,2.88,16.92,5.0854,-999.0
20000214,15.73,24.35,7.55,0.0,2.14,15.85,4.7462,-999.0
20000215,18.12,27.15,11.06,0.0,1.78,26.77,5.3858,-999.0
