date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
2000-01-01,-10.32,-8.79,-11.69,0.41,1.5,98.99,0.2292,-999.0
2000-01-02,-10.12,-8.13,-11.6,0.55,1.93,99.71,0.2866,-999.0
2000-01-03,-8.15,-6.54,-9.09,3.98,2.36,97.81,0.234,-999.0
2000-01-04,-0.82,0.54,-5.42,1.9,4.85,97.7,0.1922,-999.0
2000-01-05,-0.65,0.63,-4.99,0.32,5.09,95.95,0.1891,-999.0
2000-01-06,-6.23,-3.99,-9.12,0.29,3.26,98.41,0.2261,-999.0
2000-01-07,-4.66,-0.63,-7.49,1.58,4.99,96.96,0.3038,-999.0
2000-01-08,-1.25,0.54,-4.09,0.73,5.62,96.81,0.2088,-999.0
2000-01-09,0.46,0.74,0.0,0.49,4.64,96.2,0.1654,-999.0
2000-01-10,-0.64,-0.03,-1.81,0.69,2.95,97.73,0.306,-999.0
2000-01-11,-1.93,0.2,-4.03,0.64,3.89,97.52,0.1706,-999.0
2000-01-12,-0.27,0.59,-1.12,4.55,5.14,95.86,0.1646,-999.0
2000-01-13,-2.15,-0.9,-4.76,2.49,5.69,93.79,0.1858,-999.0
2000-01-14,-5.51,-3.92,-7.17,0.72,2.9,96.68,0.1906,-999.0
2000-01-15,-7.07,-5.28,-8.43,0.63,1.66,98.09,0.3398,-999.0
2000-01-16,-4.67,0.37,-9.72,6.4,4.27,97.93,0.3062,-999.0
2000-01-17,-1.59,0.42,-4.49,0.81,4.12,95.99,0.2479,-999.0
2000-01-18,-3.75,-2.82,-5.08,2.31,3.68,97.41,0.1714,-999.0
2000-01-19,-8.32,-5.59,-11.08,0.85,4.88,95.26,0.3698,-999.0
2000-01-20,-10.87,-8.03,-13.18,2.42,3.37,99.45,0.2566,-999.0
2000-01-21,-11.72,-9.96,-14.17,0.74,3.88,96.51,0.4039,-999.0
2000-01-22,-11.1,-9.08,-15.12,0.68,4.39,97.55,0.3893,-999.0
2000-01-23,-13.89,-11.89,-17.21,0.54,2.32,97.83,0.4454,-999.0
2000-01-24,-13.53,-10.16,-15.8,0.55,2.07,99.59,0.473,-999.0
2000-01-25,-19.16,-14.5,-22.46,0.15,1.15,99.03,0.3072,-999.0
2000-01-26,-17.79,-3.09,-25.79,1.47,2.83,98.62,0.3547,-999.0
2000-01-27,-2.55,-1.2,-5.58,0.52,4.54,97.85,0.4339,-999.0
2000-01-28,-2.74,0.37,-6.44,4.57,4.48,96.49,0.641,-999.0
2000-01-29,-4.47,-0.89,-9.06,1.49,4.42,98.1,0.3754,-999.0
2000-01-30,-0.42,0.74,-1.97,6.38,7.09,94.3,0.4099,-999.0
2000-01-31,-7.82,-2.39,-14.94,0.01,3.66,92.13,0.3931,-999.0
2000-02-01,-7.14,-3.48,-12.04,0.19,4.38,95.24,0.5299,-999.0
2000-02-02,-2.46,0.47,-8.93,4.19,4.8,96.86,0.785,-999.0
2000-02-03,-7.09,-2.51,-11.11,0.39,3.22,97.27,0.4882,-999.0
2000-02-04,-4.43,0.31,-9.86,5.59,5.37,97.25,0.4315,-999.0
2000-02-05,-3.34,0.07,-9.55,0.17,4.6,97.03,0.415,-999.0
2000-02-06,-5.05,0.69,-11.23,1.5,3.74,98.51,0.3187,-999.0
2000-02-07,0.38,0.6,0.22,4.86,4.47,97.69,0.4896,-999.0
2000-02-08,0.5,0.75,0.2,1.79,5.3,96.01,0.4387,-999.0
2000-02-09,0.38,0.45,0.29,2.92,2.82,97.46,0.738,-999.0
2000-02-10,-4.11,0.22,-7.53,0.23,2.7,97.37,0.7538,-999.0
2000-02-11,-1.84,0.76,-6.55,0.97,5.54,96.36,0.6821,-999.0
2000-02-12,0.49,0.81,0.24,0.52,4.89,96.71,0.5623,-999.0
2000-02-13,-0.16,0.52,-2.16,0.98,4.99,94.66,0.485,-999.0
2000-02-14,-2.16,-0.26,-3.87,0.48,3.15,96.71,0.8251,-999.0
2000-02-15,-3.66,-0.45,-6.82,1.07,2.6,96.77,1.0361,-999.0
2000-02-16,-2.96,-0.53,-6.09,1.22,3.04,97.63,0.6682,-999.0
2000-02-17,-1.3,0.46,-2.89,2.2,3.84,96.87,0.6029,-999.0
2000-02-18,-3.69,-1.24,-8.0,1.16,1.55,96.85,1.2288,-999.0
2000-02-19,-7.55,-2.77,-11.92,0.21,1.41,96.33,0.8014,-999.0
2000-02-20,-9.56,-4.88,-13.46,0.13,1.92,98.92,1.3565,-999.0
2000-02-21,-7.34,-3.21,-11.92,0.25,2.45,96.39,0.9991,-999.0
2000-02-22,-7.83,-3.51,-10.83,0.36,2.07,96.97,1.2559,-999.0
2000-02-23,-9.47,-6.53,-11.74,0.3,2.51,96.18,1.355,-999.0
2000-02-24,-12.13,-7.61,-18.13,0.11,1.49,95.36,1.7534,-999.0
2000-02-25,-11.27,-7.32,-16.12,2.41,3.11,98.04,1.2996,-999.0
2000-02-26,-10.24,-5.83,-18.1,0.72,1.12,97.93,1.4506,-999.0
2000-02-27,-11.14,-0.29,-21.11,0.21,3.09,98.35,1.362,-999.0
2000-02-28,0.53,1.57,-0.65,0.05,7.47,93.08,1.3675,-999.0
2000-02-29,1.05,1.41,0.1,0.75,6.32,93.77,1.5746,-999.0
2000-03-01,-0.02,0.98,-1.52,3.2,5.18,96.71,0.5935,-999.0
2000-03-02,0.33,1.17,-2.94,0.98,5.66,94.21,0.931,-999.0
2000-03-03,-3.1,-0.02,-8.35,8.04,6.31,94.41,0.229,-999.0
2000-03-04,-1.08,0.81,-4.97,2.26,7.19,92.12,0.7301,-999.0
2000-03-05,-3.79,-0.45,-6.6,0.89,3.9,92.1,1.1503,-999.0
2000-03-06,-4.72,-1.18,-8.41,4.86,4.76,93.41,0.673,-999.0
2000-03-07,0.6,1.87,-2.15,4.9,7.0,92.05,1.26,-999.0
2000-03-08,-2.66,0.2,-7.27,1.34,4.18,90.54,1.8907,-999.0
2000-03-09,-5.19,-1.58,-8.47,0.25,2.47,90.7,1.5806,-999.0
2000-03-10,-4.53,-2.53,-6.32,1.14,4.85,92.76,1.3738,-999.0
2000-03-11,-6.51,-1.7,-10.49,0.43,3.38,88.17,1.8413,-999.0
2000-03-12,-4.98,-1.45,-8.82,0.71,3.54,87.22,2.6825,-999.0
2000-03-13,-2.74,0.53,-7.15,1.1,2.65,94.07,0.9151,-999.0
2000-03-14,0.28,1.18,-1.1,5.49,5.3,96.32,1.3394,-999.0
2000-03-15,-0.38,0.32,-1.58,14.34,1.9,97.24,0.9533,-999.0
2000-03-16,-1.28,0.25,-2.71,9.64,3.85,96.66,1.5648,-999.0
2000-03-17,-1.46,0.29,-3.23,2.37,3.06,96.55,2.208,-999.0
2000-03-18,-2.15,0.16,-6.32,2.0,2.23,96.19,1.7383,-999.0
2000-03-19,-4.21,0.47,-8.06,0.03,1.6,95.96,3.7409,-999.0
2000-03-20,-3.29,0.61,-7.81,0.23,3.21,95.56,3.2285,-999.0
2000-03-21,-0.23,1.51,-1.43,0.55,1.85,95.83,1.9188,-999.0
2000-03-22,0.59,1.68,-0.46,2.7,2.18,95.14,3.0358,-999.0
2000-03-23,-1.33,2.32,-5.3,0.3,2.99,91.38,3.1541,-999.0
2000-03-24,-1.29,2.95,-5.28,0.41,4.02,87.64,3.043,-999.0
2000-03-25,-0.71,2.96,-3.78,0.08,3.79,83.88,3.9626,-999.0
2000-03-26,-1.03,1.77,-3.18,0.02,2.31,82.0,3.7531,-999.0
2000-03-27,-2.14,1.75,-6.18,0.0,2.96,78.79,3.4133,-999.0
2000-03-28,-2.14,2.68,-6.82,0.01,2.67,79.87,4.0289,-999.0
2000-03-29,-0.5,4.49,-5.83,0.0,1.74,80.85,4.133,-999.0
2000-03-30,1.61,7.42,-2.27,0.01,2.77,88.73,4.0966,-999.0
2000-03-31,1.7,5.06,-1.56,2.1,2.57,95.78,1.6726,-999.0
2000-04-01,2.15,5.44,0.27,2.69,3.15,95.79,1.7988,-999.0
2000-04-02,2.28,5.56,0.11,0.57,2.36,90.97,1.812,-999.0
2000-04-03,2.26,6.75,-1.2,0.49,1.96,92.17,4.0877,-999.0
2000-04-04,2.78,7.75,-1.44,0.22,3.33,85.74,4.0798,-999.0
2000-04-05,6.1,10.77,1.99,4.41,4.45,93.29,1.6358,-999.0
2000-04-06,1.24,4.15,-1.4,0.68,4.44,74.71,3.0511,-999.0
2000-04-07,2.03,5.35,-1.16,0.02,3.93,81.29,4.3781,-999.0
2000-04-08,0.92,2.46,-0.47,5.95,4.71,91.33,2.6822,-999.0
2000-04-09,3.47,6.92,0.15,2.06,2.36,95.08,1.6838,-999.0
2000-04-10,3.84,6.59,0.54,0.7,2.0,92.37,2.8949,-999.0
2000-04-11,3.58,8.39,-0.42,0.11,2.04,85.3,2.9868,-999.0
2000-04-12,4.94,10.13,0.98,0.26,1.73,88.42,4.0649,-999.0
2000-04-13,5.07,9.65,1.64,2.73,3.1,87.32,3.4745,-999.0
2000-04-14,6.28,11.93,1.29,0.59,3.62,81.92,3.8383,-999.0
2000-04-15,5.52,8.64,2.35,2.44,2.56,86.74,3.8059,-999.0
2000-04-16,7.59,13.26,1.25,0.88,3.24,83.43,4.4796,-999.0
2000-04-17,9.8,13.6,6.53,4.05,2.31,94.13,3.6746,-999.0
2000-04-18,10.18,14.88,5.64,0.12,1.13,87.12,4.6001,-999.0
2000-04-19,13.19,18.59,8.42,0.02,1.12,77.88,4.6289,-999.0
2000-04-20,13.77,19.44,7.82,0.0,1.66,75.61,5.376,-999.0
2000-04-21,14.8,20.68,8.49,0.0,1.8,77.52,5.2603,-999.0
2000-04-22,14.39,20.81,8.89,0.01,2.02,81.3,5.8841,-999.0
2000-04-23,12.66,19.42,5.66,0.0,1.54,72.57,5.6285,-999.0
2000-04-24,15.65,22.78,8.52,0.0,2.74,78.85,5.2464,-999.0
2000-04-25,16.14,20.82,11.55,0.31,3.36,85.14,5.2526,-999.0
2000-04-26,13.12,17.01,7.55,0.76,2.12,86.68,4.1806,-999.0
2000-04-27,11.38,17.93,3.59,0.0,1.95,76.6,5.4602,-999.0
2000-04-28,13.23,20.41,7.04,0.27,2.06,84.09,4.0606,-999.0
2000-04-29,13.26,17.97,7.96,0.04,2.17,84.69,3.8755,-999.0
2000-04-30,8.92,11.9,2.24,0.04,3.52,76.24,4.2144,-999.0
2000-05-01,3.15,7.3,-0.71,0.01,3.77,70.84,6.4375,-999.0
2000-05-02,2.63,7.08,-2.52,0.0,2.75,70.92,5.3412,-999.0
2000-05-03,5.47,8.92,-0.21,0.87,3.15,72.97,2.0042,-999.0
2000-05-04,7.85,12.0,4.56,0.33,3.48,79.29,4.0517,-999.0
2000-05-05,7.63,13.07,1.27,0.01,3.25,75.52,4.2722,-999.0
2000-05-06,7.21,11.38,3.04,0.02,4.52,72.23,6.2729,-999.0
2000-05-07,8.39,13.27,1.78,0.0,1.91,71.32,6.6991,-999.0
2000-05-08,9.87,15.95,2.32,0.0,3.44,72.05,5.5435,-999.0
2000-05-09,11.06,15.84,5.81,0.01,2.6,74.34,6.9329,-999.0
2000-05-10,12.84,18.53,6.17,0.0,1.49,71.61,6.7322,-999.0
2000-05-11,8.36,12.37,3.74,2.33,5.15,71.58,4.2917,-999.0
2000-05-12,3.12,5.05,1.33,0.44,6.52,65.41,4.7995,-999.0
2000-05-13,4.68,7.97,0.79,2.05,4.48,79.72,3.0883,-999.0
2000-05-14,7.42,11.32,2.16,0.03,4.11,75.88,5.6405,-999.0
2000-05-15,10.5,16.86,3.95,0.01,3.64,77.12,4.8432,-999.0
2000-05-16,8.48,13.18,2.89,0.0,2.33,68.95,7.0826,-999.0
2000-05-17,11.62,18.08,3.77,0.0,1.18,65.67,6.9703,-999.0
2000-05-18,13.43,19.59,6.99,0.0,2.79,72.81,7.2046,-999.0
2000-05-19,14.33,20.69,7.21,0.01,3.47,75.75,7.1369,-999.0
2000-05-20,14.95,19.32,10.62,0.04,3.27,72.02,6.9211,-999.0
2000-05-21,12.38,14.85,9.7,2.17,2.42,84.49,2.9774,-999.0
2000-05-22,12.01,13.71,8.75,22.83,2.23,92.91,2.6834,-999.0
2000-05-23,13.0,16.48,10.1,9.89,2.13,84.69,3.713,-999.0
2000-05-24,13.73,17.16,9.77,0.11,1.44,71.84,6.019,-999.0
2000-05-25,15.06,19.42,10.46,1.67,2.52,79.97,4.2019,-999.0
2000-05-26,14.09,17.17,8.93,2.02,5.17,76.79,4.0063,-999.0
2000-05-27,12.69,17.92,6.84,0.0,3.3,73.77,7.4227,-999.0
2000-05-28,14.89,17.19,11.64,0.5,2.51,81.24,5.0434,-999.0
2000-05-29,18.62,25.11,11.65,3.58,3.26,84.61,2.808,-999.0
2000-05-30,11.84,14.6,9.62,5.0,2.4,80.73,3.2088,-999.0
2000-05-31,12.56,15.68,9.92,0.84,1.87,72.45,5.6107,-999.0
2000-06-01,12.49,16.49,7.97,0.02,2.11,66.46,6.0559,-999.0
2000-06-02,12.01,16.88,5.45,1.86,3.53,71.98,4.6682,-999.0
2000-06-03,12.87,16.12,6.99,1.58,4.79,78.18,6.3991,-999.0
2000-06-04,10.22,15.04,5.39,0.01,4.22,66.61,7.9164,-999.0
2000-06-05,10.22,15.58,3.85,0.0,3.36,66.08,8.1552,-999.0
2000-06-06,10.46,15.67,2.41,0.09,1.84,75.94,6.0787,-999.0
2000-06-07,12.57,16.07,9.04,11.7,2.81,85.32,2.0676,-999.0
2000-06-08,11.19,14.22,8.58,5.64,5.14,84.45,2.7926,-999.0
2000-06-09,13.47,18.05,8.8,0.48,5.14,73.23,6.9302,-999.0
2000-06-10,13.45,19.2,5.58,0.0,2.42,66.92,8.3592,-999.0
2000-06-11,17.71,23.43,10.19,0.0,3.44,72.73,8.2222,-999.0
