date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
2000-01-01,0.24,1.15,-1.29,0.97,1.03,98.46,0.7642,-999.0
2000-01-02,0.07,3.18,-3.92,0.15,0.6,96.49,0.9014,-999.0
2000-01-03,-2.31,1.14,-6.58,0.11,1.51,97.12,0.7622,-999.0
2000-01-04,1.43,3.33,0.19,1.79,2.73,97.21,0.9122,-999.0
2000-01-05,3.42,6.2,1.61,0.71,1.18,98.18,1.0219,-999.0
2000-01-06,2.35,4.55,0.23,0.27,1.67,97.38,0.8467,-999.0
2000-01-07,3.45,4.45,2.82,0.86,0.98,98.03,0.8131,-999.0
2000-01-08,3.11,5.13,2.04,0.55,1.6,95.58,0.7932,-999.0
2000-01-09,2.66,3.37,0.74,9.24,1.23,97.9,0.4219,-999.0
2000-01-10,0.15,1.91,-1.82,2.85,1.68,96.61,0.5374,-999.0
2000-01-11,-1.16,2.21,-2.75,0.14,0.78,96.36,0.7447,-999.0
2000-01-12,-1.83,1.74,-4.26,0.04,0.75,94.06,0.7774,-999.0
2000-01-13,-1.16,2.85,-4.21,0.09,1.42,94.86,1.2761,-999.0
2000-01-14,-1.15,4.0,-3.55,0.02,1.05,91.83,1.2408,-999.0
2000-01-15,-2.27,1.22,-4.41,0.09,1.76,93.39,1.3075,-999.0
2000-01-16,-2.58,0.2,-4.93,0.07,1.55,89.34,1.6212,-999.0
2000-01-17,0.1,1.87,-2.94,0.62,1.81,98.67,1.3754,-999.0
2000-01-18,1.31,2.8,-0.88,1.38,2.28,98.89,0.9372,-999.0
2000-01-19,-0.87,1.83,-2.54,0.25,1.21,94.02,0.977,-999.0
2000-01-20,-0.97,2.29,-2.8,0.14,1.18,93.06,1.0805,-999.0
2000-01-21,0.12,1.08,-1.38,1.29,2.31,97.8,0.8225,-999.0
2000-01-22,0.26,0.78,-0.2,4.0,2.25,97.83,0.3437,-999.0
2000-01-23,-0.92,0.82,-6.5,3.23,2.13,97.06,0.6586,-999.0
2000-01-24,-8.23,-3.86,-11.51,0.02,1.65,88.03,1.8046,-999.0
2000-01-25,-9.46,-3.59,-13.08,0.0,1.31,86.85,1.7966,-999.0
2000-01-26,-8.09,-2.08,-12.91,0.0,0.73,80.75,1.9747,-999.0
2000-01-27,-6.36,0.82,-11.45,0.0,1.22,92.26,2.0182,-999.0
2000-01-28,-1.28,2.47,-5.39,0.08,2.47,94.81,1.8698,-999.0
2000-01-29,2.53,5.05,0.66,5.89,5.1,96.35,0.3946,-999.0
2000-01-30,6.36,7.28,5.19,5.04,4.4,96.76,0.8158,-999.0
2000-01-31,5.36,7.62,2.5,0.54,2.89,96.5,0.8798,-999.0
2000-02-01,4.49,8.46,2.87,0.13,1.59,96.1,1.5362,-999.0
2000-02-02,3.84,5.03,-0.09,2.74,1.65,97.84,0.6646,-999.0
2000-02-03,0.83,4.62,-1.36,0.13,1.59,94.85,1.0495,-999.0
2000-02-04,1.61,7.07,-1.82,0.03,1.1,88.4,1.8617,-999.0
2000-02-05,3.21,10.58,-1.23,0.0,1.25,83.19,2.0743,-999.0
2000-02-06,4.28,8.59,1.18,0.03,1.96,92.06,1.7861,-999.0
2000-02-07,5.18,7.79,3.97,2.75,3.31,90.63,1.1755,-999.0
2000-02-08,7.07,9.89,3.33,7.36,4.35,93.4,0.9374,-999.0
2000-02-09,2.84,4.84,0.17,1.98,3.24,89.53,1.4398,-999.0
2000-02-10,3.54,8.68,-0.58,5.62,2.61,86.25,2.3431,-999.0
2000-02-11,0.76,5.16,-2.66,1.11,1.34,89.59,2.1905,-999.0
2000-02-12,0.32,4.37,-2.91,0.47,2.1,85.71,2.2296,-999.0
2000-02-13,2.18,3.87,1.03,6.82,2.71,96.75,1.0454,-999.0
2000-02-14,2.89,6.7,-1.01,2.41,1.43,94.34,1.3543,-999.0
2000-02-15,6.04,8.18,4.12,5.45,2.86,91.95,1.2295,-999.0
2000-02-16,2.37,5.09,-1.15,7.33,3.66,90.68,1.8653,-999.0
2000-02-17,-0.32,2.83,-3.55,3.08,2.38,90.22,1.8386,-999.0
2000-02-18,1.63,5.44,-2.73,4.57,3.08,95.14,1.193,-999.0
2000-02-19,3.02,5.69,0.05,4.5,2.95,94.11,1.3272,-999.0
2000-02-20,0.22,3.33,-1.49,0.84,2.06,83.4,1.8569,-999.0
2000-02-21,0.36,3.9,-2.7,0.09,0.72,77.48,2.586,-999.0
2000-02-22,1.06,6.31,-2.9,0.0,0.8,75.14,2.7382,-999.0
2000-02-23,1.82,7.3,-1.13,0.0,1.03,78.71,1.4522,-999.0
2000-02-24,1.97,3.94,-1.66,0.98,2.53,93.06,1.1258,-999.0
2000-02-25,4.96,8.01,0.4,2.49,2.39,95.14,1.1825,-999.0
2000-02-26,2.4,8.12,-1.03,0.11,0.82,84.19,2.2704,-999.0
2000-02-27,4.74,11.86,-2.03,0.0,1.52,88.39,3.1152,-999.0
2000-02-28,7.94,13.2,3.89,5.47,3.66,87.35,2.7684,-999.0
2000-02-29,5.55,6.1,4.65,9.15,3.49,92.41,1.2221,-999.0
