date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
2025-09-04,34.76,40.78,28.45,1.32,1.61,47.89,6.2386,-999.0
2025-09-05,35.66,41.65,29.89,0.04,1.5,44.43,6.209,-999.0
2025-09-06,36.11,41.82,30.75,1.4,1.8,42.69,6.0797,-999.0
2025-09-07,31.91,37.14,27.8,6.39,2.94,57.95,4.939,-999.0
2025-09-08,29.0,31.73,26.38,28.65,4.03,75.57,3.5623,-999.0
2025-09-09,25.87,27.54,25.03,103.54,4.79,93.52,0.8491,-999.0
2025-09-10,27.46,31.48,24.66,4.84,1.77,85.15,3.8726,-999.0
2025-09-11,28.94,33.78,24.52,0.01,2.55,73.53,6.0134,-999.0
2025-09-12,30.18,35.45,25.71,0.05,2.74,68.7,5.7919,-999.0
2025-09-13,30.58,36.05,25.68,0.26,2.28,68.35,5.9398,-999.0
2025-09-14,30.97,37.0,25.46,0.0,2.23,66.46,6.0072,-999.0
2025-09-15,31.3,37.71,25.6,0.0,2.14,66.55,5.959,-999.0
2025-09-16,31.39,37.56,26.12,0.2,2.23,67.17,5.9753,-999.0
2025-09-17,31.2,36.87,26.11,0.03,2.09,66.87,5.9323,-999.0
2025-09-18,31.51,37.57,25.97,0.0,2.28,63.0,5.9338,-999.0
2025-09-19,31.15,37.27,25.55,0.0,2.22,62.54,5.8788,-999.0
2025-09-20,31.08,37.26,25.76,0.0,2.03,60.41,5.916,-999.0
2025-09-21,30.96,37.65,25.1,0.0,2.06,59.19,5.9239,-999.0
2025-09-22,30.58,37.09,24.56,0.0,2.0,61.7,5.8726,-999.0
2025-09-23,30.89,37.95,24.61,0.0,2.27,62.52,5.8334,-999.0
2025-09-24,30.84,37.56,25.11,0.0,2.31,62.45,5.7888,-999.0
2025-09-25,30.96,37.44,25.32,0.0,2.51,60.96,5.6904,-999.0
2025-09-26,31.41,38.1,25.62,0.0,2.12,55.73,5.6734,-999.0
2025-09-27,32.04,39.32,25.38,0.0,1.27,50.41,5.7552,-999.0
2025-09-28,33.18,40.45,25.94,0.0,1.35,39.93,-999.0,-999.0
2025-09-29,32.13,39.76,24.41,0.0,1.83,41.61,-999.0,-999.0
2025-09-30,31.98,38.36,26.97,4.07,2.22,58.05,-999.0,-999.0
2025-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-03,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
