date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
2025-09-04,13.91,18.9,7.95,0.0,0.49,76.11,4.3279,-999.0
2025-09-05,14.09,18.05,10.81,0.0,0.57,77.86,3.9463,-999.0
2025-09-06,14.69,20.65,8.95,0.0,0.75,78.38,4.3682,-999.0
2025-09-07,15.58,21.02,9.15,0.0,0.74,74.66,4.3236,-999.0
2025-09-08,16.25,22.1,10.4,0.0,0.68,79.71,4.1268,-999.0
2025-09-09,15.47,20.3,11.58,0.16,0.71,86.76,3.4452,-999.0
2025-09-10,15.11,20.58,9.81,0.0,0.63,75.99,4.0766,-999.0
2025-09-11,14.85,20.07,10.16,0.0,0.66,75.8,3.9857,-999.0
2025-09-12,13.63,17.99,8.98,0.49,1.08,83.67,3.4855,-999.0
2025-09-13,13.15,18.01,8.1,0.02,1.14,80.93,3.8249,-999.0
2025-09-14,13.24,18.83,8.63,0.0,1.05,78.29,3.4354,-999.0
2025-09-15,13.06,18.55,7.55,0.0,1.34,75.02,3.1555,-999.0
2025-09-16,15.17,20.25,10.5,0.0,1.64,68.01,3.3254,-999.0
2025-09-17,14.6,17.88,12.72,0.51,1.51,73.15,1.4138,-999.0
2025-09-18,12.65,15.07,10.62,1.68,1.07,86.12,1.3284,-999.0
2025-09-19,11.4,13.7,10.38,7.22,1.22,92.21,1.2072,-999.0
2025-09-20,12.15,14.69,10.65,2.95,1.57,87.66,1.4522,-999.0
2025-09-21,14.51,16.74,12.87,2.15,1.29,96.26,0.8695,-999.0
2025-09-22,15.8,21.61,11.05,2.31,1.96,84.63,2.0909,-999.0
2025-09-23,10.39,13.5,6.87,0.58,1.63,74.84,2.5154,-999.0
2025-09-24,6.59,8.86,5.14,2.66,2.02,79.46,2.1756,-999.0
2025-09-25,6.26,8.63,2.93,0.21,1.62,81.33,1.8838,-999.0
2025-09-26,7.36,12.96,2.28,0.06,1.32,89.83,2.5728,-999.0
2025-09-27,7.84,10.09,6.26,5.73,0.91,92.7,1.4671,-999.0
2025-09-28,5.42,7.86,1.59,0.36,1.03,82.02,-999.0,-999.0
2025-09-29,4.03,9.16,-1.1,0.0,0.57,79.49,-999.0,-999.0
2025-09-30,3.33,9.11,-1.21,0.0,0.7,82.74,-999.0,-999.0
2025-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-03,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
