date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
20000101,0.78,1.58,-0.25,4.57,3.05,98.38,0.0989,-999.0
20000102,1.98,3.34,0.88,0.74,4.13,98.72,0.1824,-999.0
20000103,3.24,5.37,1.25,1.52,4.35,98.26,0.2335,-999.0
20000104,2.9,3.69,2.16,0.46,4.46,97.88,0.2184,-999.0
20000105,1.47,3.02,0.23,5.91,3.3,97.69,0.2942,-999.0
20000106,2.81,4.33,1.28,5.48,5.58,96.9,0.1946,-999.0
20000107,2.59,4.45,0.86,0.31,4.18,97.21,0.1162,-999.0
20000108,3.96,4.88,3.05,1.31,5.79,96.18,0.2546,-999.0
20000109,2.15,2.85,1.5,0.3,3.94,97.6,0.3245,-999.0
20000110,1.64,2.69,1.22,0.28,3.96,97.43,0.4178,-999.0
20000111,1.3,2.14,0.63,3.01,5.13,97.16,0.251,-999.0
20000112,1.92,2.75,1.19,3.01,5.96,93.91,0.1589,-999.0
20000113,0.48,1.56,-1.0,0.35,3.44,94.16,0.1966,-999.0
20000114,-1.11,-0.14,-1.69,0.32,1.14,85.9,0.1651,-999.0
20000115,-1.05,0.71,-2.07,0.08,2.47,96.62,0.5599,-999.0
20000116,1.8,4.36,-0.61,0.43,3.59,98.42,0.2062,-999.0
20000117,4.91,6.78,2.5,0.04,7.77,92.34,0.5117,-999.0
20000118,1.85,3.19,0.0,0.04,6.94,82.94,0.5729,-999.0
20000119,-0.45,1.74,-2.12,0.02,4.31,91.08,0.4817,-999.0
20000120,1.94,3.83,-0.05,1.78,4.93,97.94,0.557,-999.0
20000121,-3.15,-0.32,-5.27,0.14,4.64,76.98,0.6379,-999.0
20000122,-4.58,-2.57,-8.17,0.02,2.7,76.19,0.2741,-999.0
20000123,-6.17,-3.01,-8.67,0.38,1.75,84.51,0.234,-999.0
20000124,-5.92,-2.54,-10.31,0.07,2.29,87.42,0.3134,-999.0
20000125,-0.77,0.71,-2.8,0.62,3.34,97.67,0.4666,-999.0
20000126,1.14,2.59,-0.3,0.48,4.73,98.17,0.4106,-999.0
20000127,2.23,2.98,1.45,1.23,6.08,97.12,0.4438,-999.0
20000128,2.22,3.12,1.28,4.46,5.92,97.28,0.2386,-999.0
20000129,2.66,5.64,0.91,11.38,8.05,94.47,0.2381,-999.0
20000130,1.97,3.72,-1.23,1.3,10.09,79.02,0.731,-999.0
20000131,1.15,3.86,-1.83,9.51,6.07,95.46,0.6079,-999.0
20000201,3.06,5.03,1.33,6.99,4.86,97.73,0.5254,-999.0
20000202,3.19,4.62,2.27,0.69,6.91,94.59,0.8717,-999.0
20000203,0.57,2.67,-2.2,0.07,5.48,90.83,1.0639,-999.0
20000204,2.97,6.25,-0.45,4.73,6.88,97.59,0.3358,-999.0
20000205,6.3,7.26,4.28,0.92,5.85,97.35,0.6058,-999.0
20000206,4.84,6.12,4.0,0.78,4.37,97.26,0.6089,-999.0
20000207,4.7,6.11,2.97,5.91,6.32,92.59,0.6463,-999.0
20000208,4.23,5.31,2.9,9.28,6.36,95.04,0.5563,-999.0
20000209,2.92,3.77,0.19,3.19,5.75,94.28,0.7118,-999.0
20000210,2.62,5.04,0.08,5.01,5.9,94.39,0.4601,-999.0
20000211,3.13,4.79,1.57,0.4,5.89,95.14,0.7402,-999.0
20000212,2.61,4.13,1.41,3.1,6.19,94.86,0.738,-999.0
20000213,1.9,3.65,0.72,0.88,5.55,93.73,0.5808,-999.0
20000214,0.71,3.02,-2.02,0.22,4.82,84.23,1.3634,-999.0
20000215,2.1,4.95,0.56,2.43,4.29,96.33,0.9768,-999.0
20000216,1.57,3.08,0.23,3.03,2.63,96.54,0.4721,-999.0
20000217,-0.7,2.24,-3.08,1.86,2.76,93.6,1.6308,-999.0
20000218,-0.51,1.23,-2.27,0.5,3.18,92.87,0.5669,-999.0
20000219,0.52,2.22,-0.99,0.98,4.17,91.04,0.5885,-999.0
20000220,-0.69,2.32,-3.43,0.2,1.66,91.38,0.9026,-999.0
20000221,-1.44,2.51,-4.24,0.0,1.8,87.63,1.6702,-999.0
20000222,-0.8,1.25,-2.36,0.03,1.99,89.49,1.1921,-999.0
20000223,-1.69,2.19,-4.82,0.01,2.39,90.79,1.8782,-999.0
20000224,1.0,3.07,-1.37,5.95,5.14,97.26,1.0078,-999.0
20000225,1.72,4.13,-0.02,0.99,5.04,94.69,1.3058,-999.0
20000226,1.57,3.16,0.42,0.18,3.72,98.63,1.039,-999.0
20000227,2.3,4.9,0.07,0.19,5.37,90.38,1.5098,-999.0
20000228,4.73,7.17,2.84,3.35,6.28,93.63,0.7279,-999.0
20000229,2.91,4.35,1.9,0.14,6.07,93.95,0.9583,-999.0
20000301,3.5,5.27,2.38,5.96,6.47,91.8,0.9986,-999.0
20000302,1.93,3.97,0.21,2.0,6.15,86.58,2.171,-999.0
20000303,2.56,4.58,0.63,11.42,9.2,89.4,1.1105,-999.0
20000304,0.43,2.96,-1.39,0.92,6.28,73.52,1.6193,-999.0
20000305,-0.46,1.93,-2.11,0.02,4.97,78.96,2.1785,-999.0
20000306,2.91,5.79,-0.26,4.26,7.42,96.87,0.8362,-999.0
20000307,3.38,6.05,1.34,7.77,5.49,95.42,1.0236,-999.0
20000308,3.46,6.45,0.87,5.42,5.96,95.51,0.9545,-999.0
20000309,2.52,4.94,-1.65,1.01,6.22,85.24,1.4107,-999.0
20000310,0.19,3.06,-1.5,0.11,3.79,80.61,2.7358,-999.0
20000311,-0.2,1.74,-3.46,6.78,4.88,94.87,1.0908,-999.0
20000312,0.07,2.13,-3.25,0.85,2.5,95.17,0.8693,-999.0
20000313,2.59,4.17,0.62,1.2,3.91,97.63,1.4743,-999.0
20000314,3.17,4.99,0.92,3.38,4.7,93.32,1.3267,-999.0
20000315,1.16,4.01,-1.14,0.02,5.81,79.84,3.4889,-999.0
