date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
20000101,20.67,27.3,15.46,0.0,3.41,32.92,4.2146,-999.0
20000102,20.8,27.41,15.21,0.0,2.66,30.42,4.4278,-999.0
20000103,20.75,27.33,15.04,0.0,2.18,34.8,4.4722,-999.0
20000104,20.26,25.52,16.3,0.0,2.45,60.91,4.5173,-999.0
20000105,21.12,26.94,16.23,0.0,1.83,59.95,4.4662,-999.0
20000106,21.02,27.29,16.32,0.0,2.16,45.69,4.1789,-999.0
20000107,20.96,25.93,17.66,0.0,3.16,76.21,4.236,-999.0
20000108,21.71,25.49,18.44,0.0,3.78,80.47,4.2478,-999.0
20000109,22.42,26.5,20.08,0.0,2.3,78.42,4.3106,-999.0
20000110,22.4,26.49,19.72,0.0,2.1,76.33,4.1136,-999.0
20000111,21.64,25.09,19.37,0.02,2.98,75.71,4.3178,-999.0
20000112,20.62,24.05,15.73,0.0,4.5,57.88,4.3538,-999.0
20000113,17.04,22.35,12.44,0.0,3.42,34.89,4.4472,-999.0
20000114,16.32,22.15,11.23,0.0,3.36,32.51,4.5943,-999.0
20000115,16.91,22.47,11.22,0.0,3.12,26.54,4.3457,-999.0
20000116,16.68,22.54,11.26,0.0,4.14,28.77,4.4256,-999.0
20000117,17.12,23.06,12.43,0.0,6.16,30.17,4.4496,-999.0
20000118,18.7,25.59,13.1,0.0,4.53,31.36,4.829,-999.0
20000119,20.38,25.95,15.86,0.0,2.82,47.14,4.4117,-999.0
20000120,21.49,25.11,18.23,0.0,5.15,78.54,4.5864,-999.0
20000121,22.12,26.23,19.09,0.0,4.92,80.01,4.2643,-999.0
20000122,22.05,26.85,18.46,0.0,3.21,70.57,4.3169,-999.0
20000123,21.39,26.04,17.85,0.0,1.87,74.53,4.7117,-999.0
20000124,21.9,26.47,18.89,0.0,2.46,83.02,4.7131,-999.0
20000125,21.79,26.42,18.82,0.0,3.16,71.29,4.5936,-999.0
20000126,20.84,26.18,15.99,0.0,3.04,54.41,4.9104,-999.0
20000127,19.87,25.4,15.45,0.0,4.45,40.44,4.8511,-999.0
20000128,19.09,25.34,13.83,0.0,4.05,39.71,4.8098,-999.0
20000129,19.74,26.56,14.0,0.0,2.63,40.02,4.8802,-999.0
20000130,19.67,24.47,15.13,0.0,4.12,63.45,5.0052,-999.0
20000131,21.7,26.85,17.1,0.0,4.77,54.92,4.4498,-999.0
20000201,19.63,26.54,13.9,0.0,2.82,35.43,4.8324,-999.0
20000202,19.68,24.23,16.36,0.0,2.73,70.11,4.848,-999.0
20000203,20.97,25.31,17.79,0.0,2.56,70.79,4.865,-999.0
20000204,21.04,24.65,16.38,0.0,4.92,56.32,3.4644,-999.0
20000205,17.68,22.61,13.11,0.01,3.3,52.66,5.2889,-999.0
20000206,20.25,25.23,16.29,0.0,2.1,38.46,5.1926,-999.0
20000207,19.14,25.04,13.85,0.0,3.18,46.19,5.3374,-999.0
20000208,19.91,24.33,16.04,0.0,2.32,63.3,5.305,-999.0
20000209,21.36,25.62,18.1,0.0,3.59,74.56,4.4868,-999.0
20000210,20.17,24.62,16.04,0.0,3.78,51.43,4.8713,-999.0
20000211,18.36,24.86,11.98,0.01,3.39,30.64,5.3614,-999.0
20000212,18.52,24.55,12.25,0.0,2.38,26.91,5.3611,-999.0
20000213,18.47,24.29,13.17,0.0,3.28,27.11,5.3676,-999.0
20000214,19.21,25.3,13.1,0.0,2.62,25.84,5.346,-999.0
20000215,19.86,25.64,14.6,0.0,2.62,41.0,5.5718,-999.0
20000216,21.6,27.99,16.2,0.0,3.07,53.75,5.4593,-999.0
