date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
20000101,5.52,14.53,-1.12,0.0,1.11,23.78,3.324,-999.0
20000102,6.56,14.78,1.03,0.0,1.08,18.98,3.4375,-999.0
20000103,6.77,15.15,-0.01,0.0,1.01,16.35,3.5575,-999.0
20000104,5.84,14.21,0.77,0.0,1.33,18.12,3.4733,-999.0
20000105,5.31,13.11,0.53,0.0,1.1,17.56,3.5222,-999.0
20000106,6.75,13.89,1.43,0.0,0.72,22.57,2.8435,-999.0
20000107,5.68,12.24,1.86,0.0,1.27,38.14,2.4115,-999.0
20000108,2.95,8.22,-1.54,0.05,1.11,53.44,3.0266,-999.0
20000109,-1.01,5.59,-5.18,0.01,2.15,43.09,3.3516,-999.0
20000110,0.05,6.71,-4.09,0.0,1.75,36.66,2.2034,-999.0
20000111,-1.25,1.39,-3.07,0.37,2.08,81.85,1.1086,-999.0
20000112,-1.02,2.57,-3.76,0.35,1.12,76.23,1.4935,-999.0
20000113,-4.24,-0.04,-7.39,0.56,3.57,57.84,0.5014,-999.0
20000114,-4.54,0.98,-8.04,0.0,5.11,35.19,1.8878,-999.0
20000115,-4.43,1.07,-7.82,0.0,2.39,34.6,1.4148,-999.0
20000116,-3.16,3.84,-8.78,0.0,1.45,29.22,2.213,-999.0
20000117,0.11,5.93,-3.1,0.0,1.44,37.64,2.2301,-999.0
20000118,0.25,4.71,-1.79,0.37,1.81,73.64,1.183,-999.0
20000119,1.39,8.46,-3.77,0.06,2.06,42.06,3.0677,-999.0
20000120,3.45,9.97,-0.46,0.32,0.98,17.27,3.4246,-999.0
20000121,2.67,9.81,-0.87,0.0,1.99,34.12,2.6969,-999.0
20000122,1.62,8.12,-2.14,0.0,1.39,47.4,2.4187,-999.0
20000123,2.7,9.53,-1.57,1.79,0.84,38.9,3.636,-999.0
20000124,3.09,9.55,-0.83,0.23,1.05,42.62,2.4221,-999.0
20000125,0.22,5.69,-4.2,0.01,1.66,48.52,2.8939,-999.0
20000126,0.03,7.2,-4.45,0.0,1.47,34.39,3.6878,-999.0
20000127,1.31,7.83,-3.49,0.0,0.69,25.2,3.7838,-999.0
20000128,3.87,11.56,-2.86,0.0,1.12,28.78,3.9163,-999.0
20000129,6.7,15.48,-1.06,0.0,1.64,31.84,2.046,-999.0
20000130,6.78,15.68,1.31,0.3,1.91,40.3,2.8987,-999.0
20000131,-0.78,4.69,-6.57,6.98,3.75,56.39,3.3425,-999.0
20000201,-1.36,6.58,-7.98,0.36,1.62,39.62,3.8594,-999.0
20000202,-0.95,3.77,-4.26,0.49,1.59,46.62,2.9743,-999.0
20000203,-1.72,2.95,-4.98,0.0,1.59,74.29,2.8802,-999.0
20000204,-0.44,5.14,-4.27,0.01,1.44,63.3,3.8962,-999.0
20000205,0.37,9.65,-6.63,0.0,2.07,37.1,4.3054,-999.0
20000206,1.23,8.67,-3.3,0.0,1.16,29.4,4.3982,-999.0
20000207,1.82,9.47,-2.57,0.0,1.88,38.58,4.3783,-999.0
20000208,-0.34,3.3,-2.73,0.0,2.04,61.23,3.0283,-999.0
20000209,-0.36,5.36,-5.32,1.84,2.09,69.77,1.1906,-999.0
20000210,-2.71,4.42,-7.35,0.05,2.91,42.08,3.2472,-999.0
20000211,-4.62,2.12,-9.13,0.01,6.71,33.65,4.1359,-999.0
20000212,-2.45,4.75,-9.03,0.02,2.77,24.01,4.4878,-999.0
20000213,0.83,7.61,-5.39,0.0,0.96,20.06,4.6471,-999.0
20000214,2.89,11.98,-2.91,0.0,1.72,25.75,4.4532,-999.0
20000215,0.73,6.04,-3.18,1.31,2.57,56.63,2.6626,-999.0
20000216,-1.45,4.59,-6.11,0.06,4.17,42.28,4.0838,-999.0
20000217,-1.15,6.99,-6.84,0.0,2.36,31.07,4.7294,-999.0
20000218,-0.22,6.67,-5.13,0.03,1.98,31.46,4.8137,-999.0
20000219,0.2,6.89,-4.79,0.01,1.66,34.46,4.6783,-999.0
20000220,0.41,6.78,-4.69,0.07,1.19,30.23,4.74,-999.0
20000221,1.12,7.82,-3.12,0.0,1.28,30.4,4.7933,-999.0
20000222,0.41,5.27,-3.18,0.0,1.01,48.3,4.1162,-999.0
20000223,1.35,7.83,-3.89,0.0,0.67,47.27,4.6073,-999.0
20000224,1.82,10.54,-3.77,0.0,2.51,27.26,5.2433,-999.0
20000225,1.66,10.18,-3.76,0.0,3.91,30.42,5.3652,-999.0
20000226,4.03,13.7,-3.69,0.0,1.76,27.57,4.9999,-999.0
20000227,5.04,12.39,-0.82,2.65,1.3,36.03,4.5562,-999.0
20000228,4.61,12.18,0.18,0.07,1.64,43.02,3.1613,-999.0
20000229,3.53,11.84,-3.42,0.66,2.7,51.87,5.4403,-999.0
20000301,0.52,9.03,-5.04,0.03,3.27,39.46,5.8298,-999.0
20000302,2.56,11.33,-5.07,0.0,1.69,26.51,5.5997,-999.0
20000303,1.98,7.6,-2.4,0.08,3.34,44.36,2.0942,-999.0
20000304,-2.44,2.89,-6.91,3.46,4.8,56.31,3.9943,-999.0
20000305,0.01,9.48,-7.22,0.0,2.21,34.33,5.6076,-999.0
20000306,0.96,6.31,-3.22,0.01,0.98,45.47,4.0762,-999.0
20000307,3.14,11.19,-3.72,0.0,1.23,40.29,5.5116,-999.0
20000308,5.05,13.72,-1.74,0.0,1.97,25.25,5.9102,-999.0
20000309,6.99,15.43,-1.47,0.0,1.58,28.47,5.9196,-999.0
20000310,6.79,12.71,1.89,0.22,1.16,39.7,4.9342,-999.0
20000311,4.64,12.82,-1.8,0.0,1.51,37.2,5.5925,-999.0
20000312,4.41,14.02,-3.01,0.0,2.02,26.56,6.2138,-999.0
20000313,5.11,14.03,-2.76,0.0,1.35,22.7,6.2842,-999.0
20000314,6.22,14.65,-0.57,0.0,1.36,22.14,5.5006,-999.0
20000315,7.46,15.29,-0.27,0.77,1.78,24.29,5.5685,-999.0
20000316,6.63,16.24,-2.27,0.02,2.34,27.08,5.2742,-999.0
20000317,2.61,12.31,-4.62,0.0,2.84,27.25,6.3655,-999.0
20000318,3.55,13.64,-4.17,0.0,2.59,22.22,6.599,-999.0
20000319,6.2,15.28,-3.34,0.0,1.08,18.67,6.4409,-999.0
20000320,7.9,14.71,2.01,0.01,0.92,18.24,6.4939,-999.0
20000321,6.99,14.83,-0.92,0.0,1.68,24.43,6.0106,-999.0
20000322,7.13,15.71,-0.33,0.0,1.91,22.9,6.7121,-999.0
20000323,8.9,19.43,-1.45,0.0,1.96,14.73,6.497,-999.0
20000324,12.78,20.83,4.64,0.0,0.8,18.57,6.6178,-999.0
20000325,15.19,24.96,5.44,0.0,1.54,26.97,5.5891,-999.0
20000326,15.24,23.36,8.3,0.0,1.52,23.15,5.7415,-999.0
20000327,15.07,21.95,9.42,1.41,1.99,25.89,5.4511,-999.0
20000328,12.45,19.77,7.81,2.23,2.64,36.74,4.7774,-999.0
