date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
2000-01-01,16.91,27.05,8.47,0.0,1.84,16.68,3.8995,-999.0
2000-01-02,16.95,26.5,8.69,0.0,1.57,17.87,4.2206,-999.0
2000-01-03,17.7,27.23,10.9,0.0,1.22,16.44,4.2077,-999.0
2000-01-04,18.6,27.75,10.75,0.0,1.3,16.49,4.1897,-999.0
2000-01-05,17.66,26.72,9.7,0.0,1.73,19.87,4.0901,-999.0
2000-01-06,17.42,27.58,9.67,0.0,1.46,17.5,3.5328,-999.0
2000-01-07,19.57,29.84,11.7,0.0,2.13,26.48,3.6809,-999.0
2000-01-08,17.3,24.45,11.26,0.0,1.75,36.8,2.8666,-999.0
2000-01-09,19.81,27.48,13.51,0.0,1.15,25.15,2.8034,-999.0
2000-01-10,19.29,26.96,14.31,0.0,1.85,20.59,3.025,-999.0
2000-01-11,17.7,25.74,10.67,0.0,1.95,28.84,1.951,-999.0
2000-01-12,16.39,22.08,11.39,0.04,1.68,54.57,4.409,-999.0
2000-01-13,11.9,19.69,5.66,0.0,3.07,19.62,4.1842,-999.0
2000-01-14,12.12,21.21,3.5,0.0,2.09,14.48,3.9245,-999.0
2000-01-15,11.52,20.71,3.4,0.0,2.23,15.57,3.899,-999.0
2000-01-16,10.92,21.31,3.06,0.0,2.03,13.86,3.8918,-999.0
2000-01-17,12.34,21.6,3.94,0.0,1.77,21.65,3.8102,-999.0
2000-01-18,15.8,24.5,6.46,0.0,1.1,15.55,3.6492,-999.0
2000-01-19,18.4,27.6,11.17,0.0,1.06,15.64,3.8952,-999.0
2000-01-20,21.12,31.49,12.22,0.0,1.71,33.22,4.2197,-999.0
2000-01-21,19.97,28.41,12.77,0.0,1.97,38.65,4.2907,-999.0
2000-01-22,18.26,27.71,11.15,0.0,2.25,35.51,3.9442,-999.0
2000-01-23,18.63,27.7,10.59,0.0,1.61,34.54,4.1405,-999.0
2000-01-24,20.28,29.31,12.18,0.12,1.86,33.45,4.2211,-999.0
2000-01-25,19.27,26.92,14.2,0.37,2.59,44.57,4.5113,-999.0
2000-01-26,17.38,25.64,10.92,0.0,2.62,38.96,4.4479,-999.0
2000-01-27,16.46,24.94,8.7,0.0,1.36,34.88,4.4234,-999.0
2000-01-28,17.2,26.09,10.59,0.0,0.98,24.74,4.5326,-999.0
2000-01-29,18.43,28.89,10.55,0.0,1.58,19.12,4.4162,-999.0
2000-01-30,19.93,31.38,10.93,0.0,2.21,16.15,4.3704,-999.0
