date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
2025-09-04,31.0,39.04,24.48,0.11,2.03,61.49,6.2659,-999.0
2025-09-05,31.39,39.85,24.81,1.24,2.2,60.84,5.8824,-999.0
2025-09-06,31.47,40.09,25.73,3.04,2.42,61.44,6.0833,-999.0
2025-09-07,29.68,36.45,25.2,7.07,1.89,68.03,2.5042,-999.0
2025-09-08,27.85,31.91,25.65,23.09,2.17,78.53,3.2513,-999.0
2025-09-09,25.35,26.35,24.57,75.11,2.77,92.4,0.804,-999.0
2025-09-10,27.02,31.56,24.25,17.23,2.41,81.25,3.3742,-999.0
2025-09-11,26.98,31.19,23.54,1.54,2.45,80.33,5.0714,-999.0
2025-09-12,27.66,32.52,24.61,0.89,3.2,78.09,5.1017,-999.0
2025-09-13,27.96,33.21,24.51,0.36,3.24,76.03,5.7662,-999.0
2025-09-14,28.01,34.42,24.08,0.12,3.62,75.91,5.8615,-999.0
2025-09-15,27.79,33.33,24.39,0.13,4.12,78.09,5.857,-999.0
2025-09-16,28.43,34.08,24.93,0.3,3.32,77.02,5.5637,-999.0
2025-09-17,28.91,35.5,24.12,0.07,2.3,74.69,5.9179,-999.0
2025-09-18,28.55,35.29,24.09,0.04,2.71,74.45,5.9918,-999.0
2025-09-19,28.14,34.49,23.83,0.11,2.87,73.32,5.6772,-999.0
2025-09-20,27.89,34.18,23.11,0.01,2.69,73.22,5.8414,-999.0
2025-09-21,27.62,34.38,22.89,0.01,2.77,74.68,5.8838,-999.0
2025-09-22,27.05,33.3,22.57,0.06,3.0,76.71,5.742,-999.0
2025-09-23,27.39,33.47,23.75,0.19,3.39,75.84,5.5212,-999.0
2025-09-24,27.96,33.74,24.62,0.34,3.08,74.09,5.557,-999.0
2025-09-25,28.11,34.48,23.87,0.06,2.48,73.54,5.603,-999.0
2025-09-26,28.64,35.74,22.76,0.0,1.76,68.58,5.7773,-999.0
2025-09-27,29.23,36.95,22.67,0.0,1.77,63.13,5.795,-999.0
2025-09-28,30.72,39.03,23.14,0.0,1.54,48.62,-999.0,-999.0
2025-09-29,31.37,38.1,24.72,0.0,2.36,49.11,-999.0,-999.0
2025-09-30,29.96,35.3,25.61,7.14,2.57,67.13,-999.0,-999.0
2025-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-03,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
