date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
20000101,21.13,26.94,16.77,0.0,2.53,33.69,4.4086,-999.0
20000102,20.96,26.66,15.45,0.0,2.07,31.17,4.3949,-999.0
20000103,20.71,26.29,16.4,0.0,2.16,39.32,4.583,-999.0
20000104,20.32,25.14,16.8,0.0,2.67,56.28,4.5197,-999.0
20000105,20.92,26.42,16.55,0.0,2.02,55.31,4.4035,-999.0
20000106,21.08,26.51,17.15,0.0,2.39,50.82,4.1501,-999.0
20000107,21.17,26.05,18.05,0.0,3.41,68.81,4.2053,-999.0
20000108,21.19,25.41,17.67,0.0,3.76,78.77,4.3003,-999.0
20000109,21.63,25.87,17.78,0.0,2.27,69.83,4.2742,-999.0
20000110,22.23,26.07,19.39,0.0,2.27,66.56,4.2821,-999.0
20000111,21.92,24.81,19.73,0.12,3.2,71.96,2.5073,-999.0
20000112,19.83,25.21,14.86,0.01,4.21,49.03,4.4417,-999.0
20000113,16.38,22.24,11.79,0.0,4.1,31.64,4.7503,-999.0
20000114,15.87,22.93,10.22,0.0,4.17,30.63,4.7515,-999.0
20000115,16.05,22.01,10.7,0.0,3.6,28.54,4.6102,-999.0
20000116,16.46,22.07,10.97,0.0,3.51,27.94,4.7098,-999.0
20000117,17.35,22.73,13.03,0.0,5.18,30.73,4.5941,-999.0
20000118,18.75,24.4,12.87,0.0,3.03,30.58,4.6382,-999.0
20000119,20.4,26.01,15.77,0.0,2.99,45.7,4.6121,-999.0
20000120,21.66,26.71,17.34,0.0,5.19,69.32,4.9018,-999.0
20000121,21.98,27.09,17.88,0.0,4.59,68.77,4.697,-999.0
20000122,21.64,27.39,16.97,0.0,2.91,62.67,4.6901,-999.0
20000123,21.57,25.25,19.23,0.0,2.2,79.99,4.1429,-999.0
20000124,21.98,26.03,19.74,0.0,2.71,82.5,4.656,-999.0
20000125,21.34,26.84,17.22,0.0,2.85,53.62,4.3759,-999.0
20000126,20.0,25.31,14.62,0.0,3.31,44.21,4.5763,-999.0
20000127,20.1,24.87,15.56,0.0,3.04,41.75,4.9116,-999.0
20000128,19.76,24.81,15.04,0.0,2.69,41.27,4.9246,-999.0
20000129,19.74,25.69,14.92,0.0,2.61,40.12,4.9354,-999.0
20000130,19.97,25.15,15.38,0.0,4.22,54.44,4.9702,-999.0
20000131,20.96,26.98,15.82,0.0,4.79,43.38,4.7995,-999.0
20000201,18.36,25.45,12.2,0.0,3.78,39.85,4.926,-999.0
