date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
2025-09-04,35.08,40.73,29.67,1.59,1.58,47.24,5.9782,-999.0
2025-09-05,35.54,41.53,29.72,0.06,1.68,44.62,5.8855,-999.0
2025-09-06,35.87,41.6,30.4,1.07,1.74,43.59,5.8745,-999.0
2025-09-07,31.91,37.4,27.77,8.29,2.95,59.05,3.2162,-999.0
2025-09-08,29.46,32.5,26.82,23.11,3.89,74.04,4.0769,-999.0
2025-09-09,25.69,26.29,25.14,92.41,4.77,93.7,1.9819,-999.0
2025-09-10,27.43,31.41,24.7,2.7,1.44,86.26,4.1477,-999.0
2025-09-11,29.12,34.03,24.64,0.0,2.46,73.66,5.6381,-999.0
2025-09-12,30.68,35.93,25.89,0.07,2.35,67.53,5.7876,-999.0
2025-09-13,31.1,36.32,26.06,0.2,1.86,66.45,5.8534,-999.0
2025-09-14,31.54,37.37,26.05,0.0,1.82,63.71,5.8891,-999.0
2025-09-15,32.0,38.25,26.37,0.0,1.8,63.37,5.8452,-999.0
2025-09-16,32.06,37.99,26.79,0.02,2.04,64.49,5.8152,-999.0
2025-09-17,31.75,37.33,26.83,0.0,2.08,64.61,5.8289,-999.0
2025-09-18,32.02,38.08,26.69,0.0,2.12,61.28,5.8632,-999.0
2025-09-19,31.85,37.94,26.7,0.01,2.11,59.37,5.8356,-999.0
2025-09-20,31.52,37.84,26.07,0.0,1.73,57.72,5.8622,-999.0
2025-09-21,31.43,38.23,25.76,0.0,1.87,55.48,5.8512,-999.0
2025-09-22,31.09,37.84,25.38,0.0,1.84,56.86,5.8344,-999.0
2025-09-23,31.33,38.4,25.06,0.0,1.93,58.96,5.7737,-999.0
2025-09-24,31.42,38.05,25.64,0.0,2.17,59.1,5.7168,-999.0
2025-09-25,31.74,38.08,26.18,0.0,2.44,57.77,5.6407,-999.0
2025-09-26,32.05,38.54,26.65,0.0,1.98,53.26,5.6095,-999.0
2025-09-27,32.48,39.76,26.02,0.0,1.33,46.4,5.6522,-999.0
2025-09-28,33.47,41.1,26.38,0.0,1.2,37.53,-999.0,-999.0
2025-09-29,32.58,40.22,25.19,0.0,1.68,38.24,-999.0,-999.0
2025-09-30,32.7,39.25,27.33,1.21,2.04,51.49,-999.0,-999.0
2025-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-03,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
