date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
2025-09-04,22.86,27.07,19.14,0.0,6.77,18.01,5.5889,-999.0
2025-09-05,23.46,31.73,16.27,0.0,2.84,16.27,6.4003,-999.0
2025-09-06,24.76,30.61,17.81,0.0,1.84,13.03,6.1303,-999.0
2025-09-07,27.42,33.68,21.87,0.0,1.65,13.56,5.957,-999.0
2025-09-08,27.62,35.17,20.63,0.0,2.33,13.12,6.0137,-999.0
2025-09-09,28.5,36.3,21.19,0.0,2.04,11.02,5.9825,-999.0
2025-09-10,27.59,35.06,21.1,0.0,3.65,14.82,5.6839,-999.0
2025-09-11,27.26,34.95,20.29,0.0,2.44,16.36,5.9549,-999.0
2025-09-12,28.33,36.55,20.88,0.0,2.23,14.29,5.9369,-999.0
2025-09-13,28.09,36.51,20.35,0.0,2.38,14.73,5.9131,-999.0
2025-09-14,28.64,36.29,21.79,0.0,2.13,14.1,5.7336,-999.0
2025-09-15,23.75,28.99,19.1,0.0,6.96,20.59,5.4103,-999.0
2025-09-16,21.2,25.76,17.17,0.0,6.08,16.73,4.5074,-999.0
2025-09-17,21.74,27.9,15.84,0.0,4.02,14.28,5.6076,-999.0
2025-09-18,22.5,29.18,16.46,0.0,4.32,18.79,5.5373,-999.0
2025-09-19,22.45,28.41,17.92,0.0,3.59,19.64,5.4264,-999.0
2025-09-20,23.08,30.02,17.95,0.0,2.74,20.47,5.3762,-999.0
2025-09-21,23.76,31.63,16.41,0.0,2.15,19.26,5.4312,-999.0
2025-09-22,23.95,31.8,17.45,0.0,3.38,18.16,5.4701,-999.0
2025-09-23,22.51,30.4,15.33,0.0,3.2,13.96,5.3712,-999.0
2025-09-24,20.5,25.22,13.85,0.0,3.39,17.5,4.757,-999.0
2025-09-25,16.25,23.05,9.61,0.0,2.58,34.9,5.3479,-999.0
2025-09-26,17.32,23.38,11.84,0.0,1.82,31.12,5.202,-999.0
2025-09-27,19.25,25.91,13.12,0.0,1.61,23.53,5.0861,-999.0
2025-09-28,20.49,28.19,13.75,0.0,2.34,21.74,-999.0,-999.0
2025-09-29,20.4,27.32,13.96,0.0,2.58,20.93,-999.0,-999.0
2025-09-30,21.85,29.02,16.22,0.0,1.88,15.46,-999.0,-999.0
2025-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-03,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
