date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
2000-01-01,13.54,22.54,8.12,0.0,1.57,19.03,3.4884,-999.0
2000-01-02,13.91,22.49,8.52,0.0,1.41,17.78,3.4337,-999.0
2000-01-03,13.78,22.32,8.42,0.0,1.41,18.58,3.4512,-999.0
2000-01-04,13.76,21.8,8.34,0.0,1.17,20.15,3.5146,-999.0
2000-01-05,13.08,22.04,7.37,0.0,1.38,21.68,3.5069,-999.0
2000-01-06,13.44,21.08,9.01,0.0,1.62,20.17,3.048,-999.0
2000-01-07,14.23,21.79,10.38,0.0,1.18,16.66,2.0558,-999.0
2000-01-08,14.87,20.66,10.61,0.0,0.94,28.98,2.6801,-999.0
2000-01-09,14.11,20.85,8.66,0.19,1.67,39.42,2.9431,-999.0
2000-01-10,12.96,20.44,6.97,0.04,1.61,39.85,3.2318,-999.0
2000-01-11,10.32,13.59,7.79,0.86,3.25,61.46,0.6266,-999.0
2000-01-12,9.29,10.83,7.84,18.67,3.24,86.62,0.6391,-999.0
2000-01-13,8.63,10.87,5.83,19.11,2.16,87.41,0.4279,-999.0
2000-01-14,7.41,12.65,3.84,0.02,1.51,66.33,1.6402,-999.0
2000-01-15,7.33,14.6,1.44,0.0,1.22,43.04,3.2554,-999.0
2000-01-16,6.24,15.21,-0.22,0.0,1.42,46.52,3.6094,-999.0
2000-01-17,8.01,18.48,0.86,0.0,1.64,38.5,1.9754,-999.0
2000-01-18,12.28,21.6,5.57,0.15,1.69,50.64,0.9151,-999.0
2000-01-19,12.74,20.71,7.93,0.02,1.75,56.31,3.3914,-999.0
2000-01-20,11.8,21.59,7.02,0.0,1.74,46.36,3.4411,-999.0
2000-01-21,11.58,19.61,3.59,0.0,1.88,37.31,3.5986,-999.0
2000-01-22,12.3,20.62,6.02,0.0,1.45,53.06,1.6673,-999.0
2000-01-23,12.29,20.61,6.54,0.0,1.61,51.57,3.5885,-999.0
2000-01-24,13.03,20.67,5.43,0.04,1.46,45.67,1.9994,-999.0
2000-01-25,12.38,19.45,7.81,1.51,1.71,68.68,0.6814,-999.0
2000-01-26,10.59,16.43,5.88,0.02,1.04,64.21,1.9495,-999.0
2000-01-27,10.99,19.03,5.83,0.0,1.22,55.21,3.8897,-999.0
2000-01-28,10.35,19.65,4.29,0.0,2.44,44.76,3.9185,-999.0
2000-01-29,12.63,23.8,5.41,0.0,2.04,35.64,3.8026,-999.0
2000-01-30,14.86,24.5,7.43,0.0,1.58,35.0,2.3575,-999.0
2000-01-31,12.32,17.94,9.48,14.12,2.77,49.05,1.554,-999.0
2000-02-01,11.6,18.4,7.51,21.51,2.19,61.14,0.8134,-999.0
2000-02-02,10.24,16.46,4.42,0.01,1.53,57.14,3.5016,-999.0
2000-02-03,11.78,18.96,4.63,0.0,1.6,50.3,3.9826,-999.0
2000-02-04,10.57,16.16,7.82,0.36,1.24,58.66,3.6418,-999.0
2000-02-05,9.84,18.55,3.53,0.14,1.49,64.89,4.1964,-999.0
2000-02-06,10.14,17.88,4.98,0.0,1.6,71.28,4.3342,-999.0
2000-02-07,11.6,19.69,5.5,0.0,1.38,48.28,4.451,-999.0
2000-02-08,11.03,17.41,5.04,0.0,1.32,51.07,4.0214,-999.0
2000-02-09,8.93,14.04,5.92,3.59,1.84,73.58,1.177,-999.0
2000-02-10,8.88,13.28,3.98,2.97,1.25,77.04,3.4973,-999.0
2000-02-11,9.0,14.17,4.93,2.41,1.53,74.16,3.4807,-999.0
2000-02-12,8.84,14.28,3.69,1.52,0.79,67.24,3.295,-999.0
2000-02-13,9.78,18.71,3.57,0.0,1.64,52.44,4.6697,-999.0
2000-02-14,11.25,20.18,4.31,0.0,1.79,39.92,4.7321,-999.0
2000-02-15,14.26,21.48,9.1,0.0,1.44,36.42,3.3317,-999.0
2000-02-16,12.55,19.29,8.24,0.0,2.25,47.57,3.7961,-999.0
2000-02-17,11.67,19.11,6.46,0.0,1.39,48.87,3.4109,-999.0
2000-02-18,10.89,18.27,3.69,0.0,1.22,46.57,4.709,-999.0
2000-02-19,10.35,19.0,4.18,0.63,1.64,45.41,4.621,-999.0
2000-02-20,10.46,19.25,4.09,1.47,1.74,42.26,1.7606,-999.0
2000-02-21,10.68,18.29,3.34,0.0,1.2,42.86,4.1028,-999.0
2000-02-22,11.6,19.57,4.53,0.0,1.45,39.23,4.861,-999.0
2000-02-23,12.22,20.64,6.34,0.04,1.75,41.51,4.4316,-999.0
2000-02-24,11.29,20.86,4.39,0.0,2.17,42.03,5.399,-999.0
2000-02-25,12.28,22.08,4.24,0.0,1.86,34.05,5.5286,-999.0
