date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
20000101,16.91,25.68,9.67,0.0,2.01,17.48,4.2924,-999.0
20000102,17.73,25.91,10.98,0.0,1.48,15.41,4.44,-999.0
20000103,18.43,27.7,12.88,0.0,1.41,18.53,4.4791,-999.0
20000104,18.71,28.14,12.18,0.0,1.68,31.49,4.326,-999.0
20000105,18.23,25.83,11.86,0.0,1.84,24.43,4.1472,-999.0
20000106,19.14,28.62,12.42,0.0,1.74,22.88,3.7277,-999.0
20000107,20.94,30.9,13.58,0.0,3.3,37.3,3.9014,-999.0
20000108,20.59,28.81,13.54,0.0,1.12,43.24,3.9391,-999.0
20000109,20.0,26.82,14.58,0.0,0.98,41.5,3.8582,-999.0
20000110,20.74,27.69,15.41,0.0,1.12,38.62,4.1342,-999.0
20000111,18.48,24.25,12.88,0.03,1.1,45.52,2.5483,-999.0
20000112,16.57,24.37,9.69,0.0,1.51,40.86,4.6478,-999.0
20000113,12.71,22.82,6.69,0.0,1.78,19.13,4.3469,-999.0
20000114,12.38,22.25,3.61,0.0,1.32,13.32,4.1662,-999.0
20000115,11.92,21.04,3.76,0.0,1.53,12.06,3.9982,-999.0
20000116,11.97,20.38,5.33,0.0,2.07,11.69,4.1174,-999.0
20000117,11.85,19.46,5.14,0.0,2.27,16.41,4.1902,-999.0
20000118,14.69,22.81,6.25,0.0,1.58,15.98,4.4006,-999.0
20000119,18.48,28.63,10.27,0.0,1.49,25.04,4.0714,-999.0
20000120,22.03,32.23,14.43,0.0,3.58,45.49,4.367,-999.0
20000121,21.37,30.71,14.19,0.0,2.9,44.4,4.4971,-999.0
20000122,19.22,26.48,13.4,0.0,2.01,33.69,4.507,-999.0
20000123,19.53,26.9,13.7,0.0,0.98,37.39,4.3445,-999.0
20000124,21.09,30.07,14.04,0.03,2.55,62.42,4.4983,-999.0
20000125,19.22,26.33,13.79,0.07,2.09,35.82,4.6272,-999.0
20000126,16.58,24.74,10.18,0.0,2.08,36.62,4.2838,-999.0
20000127,16.12,23.78,9.24,0.0,1.4,33.56,4.4938,-999.0
20000128,17.17,24.62,11.79,0.0,1.4,26.86,4.6865,-999.0
20000129,18.47,28.44,11.55,0.0,1.55,20.53,4.5254,-999.0
20000130,20.46,32.07,11.77,0.0,3.31,25.16,4.6747,-999.0
20000131,20.01,30.08,12.54,0.0,2.23,24.16,4.6771,-999.0
20000201,15.9,25.07,8.42,0.0,2.06,16.75,4.6898,-999.0
20000202,17.67,27.26,9.33,0.0,1.17,24.9,5.0234,-999.0
20000203,16.18,22.78,9.9,0.0,2.28,28.75,5.2253,-999.0
20000204,16.8,23.28,11.85,0.06,2.14,52.91,4.8048,-999.0
20000205,14.97,23.99,8.42,0.06,1.18,38.95,5.1065,-999.0
20000206,14.86,23.13,8.19,0.0,2.48,29.08,5.3165,-999.0
20000207,15.85,24.01,7.05,0.0,1.53,31.55,5.3251,-999.0
20000208,18.38,26.33,11.71,0.0,1.77,39.84,5.1912,-999.0
20000209,19.82,27.81,13.89,0.0,2.82,59.41,4.8593,-999.0
20000210,16.67,24.52,9.77,0.0,1.46,19.32,5.1358,-999.0
20000211,14.96,25.08,5.42,0.14,1.35,11.9,5.2862,-999.0
20000212,14.21,22.78,6.25,0.0,2.31,14.19,5.1977,-999.0
20000213,14.47,22.39,6.23,0.0,1.72,18.75,5.3182,-999.0
20000214,16.68,25.23,10.24,0.0,1.38,14.95,5.2663,-999.0
20000215,19.24,29.02,11.32,0.0,2.2,21.41,5.4545,-999.0
20000216,19.42,29.03,10.82,0.0,1.42,18.56,5.4298,-999.0
20000217,19.51,29.7,10.21,0.0,1.8,20.81,5.3429,-999.0
20000218,19.16,27.4,12.46,0.0,2.15,24.26,5.2075,-999.0
20000219,18.58,26.97,10.33,0.0,1.62,17.0,5.593,-999.0
20000220,19.04,26.9,12.45,0.0,1.56,18.81,5.6119,-999.0
20000221,17.05,25.24,9.18,0.0,1.84,18.17,5.8474,-999.0
20000222,17.85,26.35,9.89,0.0,1.53,18.08,5.8932,-999.0
20000223,19.66,27.59,13.23,0.0,1.51,17.34,5.9568,-999.0
20000224,19.79,28.31,12.73,0.0,1.61,14.66,6.0367,-999.0
20000225,20.72,30.64,12.48,0.0,1.55,12.95,5.5404,-999.0
20000226,22.32,33.4,12.38,0.0,2.08,17.45,5.8934,-999.0
20000227,24.12,34.02,15.22,0.0,2.03,47.53,5.8733,-999.0
20000228,25.35,34.81,17.02,0.0,1.81,39.08,6.4116,-999.0
20000229,28.42,39.53,20.14,0.0,2.43,28.33,6.4754,-999.0
20000301,26.62,35.56,20.77,0.0,1.52,22.11,6.2225,-999.0
20000302,24.19,32.85,16.78,0.0,1.95,22.57,5.3158,-999.0
20000303,24.15,33.49,15.05,0.0,4.48,31.48,5.6654,-999.0
20000304,20.55,29.65,13.46,0.0,2.43,16.55,4.8691,-999.0
20000305,18.6,27.12,10.33,0.0,1.9,11.0,5.574,-999.0
20000306,19.42,28.09,11.01,0.0,2.06,23.12,5.8726,-999.0
20000307,19.71,28.25,11.07,0.0,2.62,13.68,5.5541,-999.0
20000308,20.57,30.19,13.08,0.0,1.44,10.85,5.8601,-999.0
20000309,23.94,35.9,13.63,0.0,3.75,24.79,5.9693,-999.0
20000310,25.81,37.19,16.84,0.0,4.49,28.48,5.7336,-999.0
20000311,24.39,35.06,14.53,0.0,2.7,11.48,5.8409,-999.0
20000312,22.75,32.03,14.25,0.0,1.34,16.09,6.0998,-999.0
20000313,22.97,31.89,14.46,0.0,1.64,8.22,6.3312,-999.0
20000314,23.41,32.84,15.86,0.0,1.5,13.02,6.3665,-999.0
20000315,23.81,34.21,14.76,0.0,3.06,23.35,6.462,-999.0
20000316,25.25,35.55,16.68,0.0,2.24,29.77,6.2818,-999.0
20000317,24.59,35.26,15.06,0.0,1.83,8.28,6.216,-999.0
20000318,22.51,32.77,11.79,0.0,1.89,6.02,6.3096,-999.0
20000319,24.8,35.01,15.88,0.0,1.79,11.17,6.6358,-999.0
20000320,26.88,36.44,18.72,0.0,4.21,38.38,6.161,-999.0
20000321,24.61,31.94,17.46,0.0,1.98,27.35,6.6322,-999.0
20000322,24.13,31.62,16.65,0.0,1.96,18.86,7.0879,-999.0
20000323,24.65,33.96,16.01,0.0,1.49,14.68,7.0553,-999.0
20000324,27.0,36.77,19.25,0.0,1.72,17.04,6.9888,-999.0
20000325,27.97,37.58,20.11,0.0,1.47,16.63,7.1894,-999.0
20000326,29.19,39.25,20.82,0.0,1.81,14.4,7.0836,-999.0
20000327,29.39,39.33,20.88,0.0,2.29,12.0,7.2641,-999.0
20000328,29.25,38.63,20.89,0.0,2.2,9.38,6.9799,-999.0
20000329,28.63,37.66,21.54,0.0,1.99,10.24,6.6946,-999.0
20000330,28.88,36.39,20.86,0.0,2.05,24.97,6.2561,-999.0
20000331,29.19,36.93,22.43,0.0,1.97,23.27,7.2528,-999.0
20000401,28.42,35.63,20.69,0.0,2.25,15.62,7.4419,-999.0
20000402,29.53,37.89,22.31,0.0,1.44,11.61,6.9389,-999.0
20000403,30.38,39.59,21.68,0.0,1.59,10.68,6.6497,-999.0
20000404,29.88,40.55,20.52,0.0,2.45,8.59,6.3607,-999.0
20000405,29.04,38.79,19.17,0.0,2.25,5.3,5.9458,-999.0
20000406,30.45,40.36,22.44,0.0,2.91,14.05,6.072,-999.0
20000407,30.14,39.3,22.44,0.0,3.87,24.15,6.8292,-999.0
20000408,30.37,39.22,21.83,0.0,2.75,20.93,7.1292,-999.0
20000409,32.29,41.99,23.18,0.0,2.38,16.41,7.164,-999.0
20000410,33.01,43.22,23.81,0.0,2.38,14.83,6.9127,-999.0
20000411,33.87,44.16,24.5,0.0,2.59,18.68,7.1162,-999.0
20000412,33.84,43.91,25.9,0.0,3.75,30.64,6.605,-999.0
20000413,33.93,44.93,24.7,0.0,3.22,33.52,6.4234,-999.0
20000414,33.06,42.59,25.15,0.0,2.1,12.51,6.5124,-999.0
20000415,32.55,41.52,23.44,0.0,2.05,8.41,7.0044,-999.0
20000416,33.2,42.86,24.5,0.0,2.23,15.28,7.0548,-999.0
20000417,33.3,43.16,23.93,0.0,2.74,22.26,7.2022,-999.0
20000418,34.6,45.68,24.09,0.0,3.38,27.56,6.3842,-999.0
20000419,33.95,45.11,26.0,0.0,5.12,23.98,7.4045,-999.0
20000420,32.28,42.26,25.26,0.0,6.51,37.64,6.7987,-999.0
20000421,33.14,43.14,24.47,0.0,5.81,43.61,6.6439,-999.0
20000422,35.29,44.46,28.25,0.0,5.87,32.7,6.4409,-999.0
20000423,34.94,45.77,26.38,0.01,5.21,39.32,7.0018,-999.0
20000424,35.18,46.49,26.87,0.0,5.91,36.66,7.1081,-999.0
20000425,36.79,47.22,28.34,0.0,4.62,21.18,7.5634,-999.0
20000426,36.77,46.31,28.64,0.0,4.18,21.83,7.733,-999.0
20000427,36.2,45.53,27.88,0.02,2.89,24.54,7.3243,-999.0
20000428,35.66,45.62,26.44,0.0,1.85,15.47,7.4794,-999.0
20000429,34.95,45.24,24.58,0.0,2.96,14.66,7.7498,-999.0
20000430,35.5,45.25,26.25,0.0,3.69,25.02,7.2725,-999.0
20000501,36.29,46.75,27.58,0.0,4.16,32.44,7.4719,-999.0
20000502,36.14,46.95,27.02,0.0,4.54,32.89,7.5094,-999.0
20000503,34.85,44.99,27.13,0.0,6.33,37.51,7.5538,-999.0
20000504,35.31,45.89,26.5,0.0,4.31,40.93,7.4621,-999.0
20000505,35.6,42.72,27.45,0.0,2.57,37.09,6.7394,-999.0
20000506,37.9,47.29,29.81,0.0,2.45,21.97,7.7388,-999.0
20000507,36.89,46.68,27.25,0.0,2.34,18.75,7.9051,-999.0
20000508,36.58,46.62,26.78,0.0,2.89,28.53,7.2437,-999.0
20000509,37.15,46.19,28.39,0.0,2.8,28.32,6.9689,-999.0
20000510,36.32,46.06,28.06,0.0,3.87,38.71,6.9454,-999.0
20000511,34.79,43.68,27.41,0.0,4.37,44.35,6.8429,-999.0
20000512,32.72,40.85,26.37,0.0,5.81,50.9,6.7037,-999.0
20000513,32.59,40.19,26.94,0.07,5.89,52.81,6.8263,-999.0
20000514,32.69,40.44,26.77,0.02,5.82,51.73,7.0718,-999.0
20000515,33.58,42.17,26.24,0.0,5.9,45.41,7.0087,-999.0
20000516,33.69,43.31,25.62,0.0,5.27,46.63,7.0075,-999.0
20000517,33.95,42.83,26.54,0.0,5.06,48.85,6.7814,-999.0
20000518,35.28,46.19,27.42,0.0,5.45,43.29,7.1633,-999.0
20000519,36.77,47.0,27.79,0.0,4.45,36.93,6.9358,-999.0
20000520,36.65,47.19,27.47,0.0,3.44,32.1,7.5564,-999.0
20000521,35.72,46.53,27.46,0.0,5.1,44.86,7.2869,-999.0
20000522,34.09,44.34,27.58,0.0,7.07,51.83,7.0332,-999.0
